 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
       1        132   -4.389e-01    2.378e-01   -5.000e-01    5.000e-01   1   0          0   00   17    9.583e-01
       1        208   -9.617e-01   -1.460e+00   -1.000e+00   -1.700e+00   1   0          0   00   44    9.583e-01
       1        281    2.585e-01    1.255e+00    2.000e-01    1.500e+00   1   0          0   01   21    9.583e-01
       1        321   -1.093e+00   -7.371e-01   -1.300e+00   -9.000e-01   1   0          0   01   28    9.583e-01
       1        461    1.092e+00   -3.981e-01   -1.000e+00    1.000e+00   0   1          0   02   32    9.583e-01
       2        530   -1.675e+00    1.241e+00   -1.900e+00    1.100e+00   1   0          0   03   07    9.583e-01
       2        586    2.916e-01   -1.367e+00    5.000e-01   -1.500e+00   1   0          0   03   35    9.583e-01
       2        658    5.287e-01    1.566e+00    5.000e-01    1.800e+00   1   0          0   04   08    9.583e-01
       2        709   -2.332e-01   -1.047e+00    0.000e+00   -1.000e+00   1   0          0   04   35    9.583e-01
       2        776   -1.027e-01    1.346e+00   -1.000e-01    1.600e+00   1   0          0   05   05    9.583e-01
       2        802   -1.755e+00   -8.569e-01   -2.000e+00   -8.000e-01   1   0          0   05   20    9.583e-01
       2        846   -4.541e-01    2.408e-01   -5.000e-01    5.000e-01   1   0          0   05   45    9.583e-01
